coreid,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementDeterminedDate,measurementDeterminedBy,measurementRemarks
1321343,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,Reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology#03,,2017-11-20T07:55:35Z,marianahenry30,
1321343,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,Flowering,http://purl.org/nevp/vocabulary/reproductive-phenology#06,,2017-11-20T07:55:35Z,marianahenry30,
1321343,"Phenology: flowering",http://purl.org/nevp/vocabulary/reproductive-phenology#06,"Mostly open",http://purl.org/nevp/vocabulary/reproductive-phenology#09,,2017-11-20T07:55:35Z,marianahenry30,
1539811,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,Reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology#03,,2017-07-05T13:12:39Z,heather,"3 specimens (April, June, August), I logged the earliest"
1539811,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,Flowering,http://purl.org/nevp/vocabulary/reproductive-phenology#06,,2017-07-05T13:12:39Z,heather,"3 specimens (April, June, August), I logged the earliest"
1539811,"Phenology: flowering",http://purl.org/nevp/vocabulary/reproductive-phenology#06,"Mostly open",http://purl.org/nevp/vocabulary/reproductive-phenology#09,,2017-07-05T13:12:39Z,heather,"3 specimens (April, June, August), I logged the earliest"
1327064,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,Reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology#03,,2017-11-20T07:59:06Z,marianahenry30,
1327064,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,Budding,http://purl.org/nevp/vocabulary/reproductive-phenology#04,,2017-11-20T07:59:06Z,marianahenry30,
1327064,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,Flowering,http://purl.org/nevp/vocabulary/reproductive-phenology#06,,2017-11-20T07:59:06Z,marianahenry30,
1327064,"Phenology: flowering",http://purl.org/nevp/vocabulary/reproductive-phenology#06,"Mostly open",http://purl.org/nevp/vocabulary/reproductive-phenology#09,,2017-11-20T07:59:06Z,marianahenry30,
1540596,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,Reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology#03,,2017-07-10T07:09:33Z,asacco99,
1540596,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,Budding,http://purl.org/nevp/vocabulary/reproductive-phenology#04,,2017-07-10T07:09:33Z,asacco99,
1540596,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,Flowering,http://purl.org/nevp/vocabulary/reproductive-phenology#06,,2017-07-10T07:09:33Z,asacco99,
1540596,"Phenology: flowering",http://purl.org/nevp/vocabulary/reproductive-phenology#06,"Mostly buds",http://purl.org/nevp/vocabulary/reproductive-phenology#08,,2017-07-10T07:09:33Z,asacco99,
1321363,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,Reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology#03,,2017-11-20T08:06:23Z,marianahenry30,
1321363,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,Budding,http://purl.org/nevp/vocabulary/reproductive-phenology#04,,2017-11-20T08:06:23Z,marianahenry30,
1321363,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,Flowering,http://purl.org/nevp/vocabulary/reproductive-phenology#06,,2017-11-20T08:06:23Z,marianahenry30,
1321363,"Phenology: flowering",http://purl.org/nevp/vocabulary/reproductive-phenology#06,"Mostly open",http://purl.org/nevp/vocabulary/reproductive-phenology#09,,2017-11-20T08:06:23Z,marianahenry30,
1555962,"Phenology (ver 1.3)",http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#01,Reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#03,,2022-12-09T13:13:55Z,jd2562,"ver 1.3"
1555962,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#03,Flowering,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#06,,2022-12-09T13:13:55Z,jd2562,"ver 1.3"
1555962,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#03,Fruiting,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#11,,2022-12-09T13:13:55Z,jd2562,"ver 1.3"
1312783,"Phenology (ver 1.3)",http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#01,Reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#03,,2022-12-09T13:09:04Z,jd2562,"ver 1.3"
1312783,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#03,Flowering,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#06,,2022-12-09T13:09:04Z,jd2562,"ver 1.3"
1548090,"Phenology (ver 1.3)",http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#01,Reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#03,,2022-12-05T19:45:16Z,jd2562,"ver 1.3"
1548090,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#03,Senesced,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#17,,2022-12-05T19:45:16Z,jd2562,"ver 1.3"
1324436,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,Reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology#03,,2017-12-06T12:25:42Z,joellebesch,
1324436,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,Fruiting,http://purl.org/nevp/vocabulary/reproductive-phenology#11,,2017-12-06T12:25:42Z,joellebesch,
1324436,"Phenology: fruiting",http://purl.org/nevp/vocabulary/reproductive-phenology#11,"Mostly mature",http://purl.org/nevp/vocabulary/reproductive-phenology#14,,2017-12-06T12:25:42Z,joellebesch,
1315873,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,Reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology#03,,2017-11-20T08:00:06Z,marianahenry30,
1315873,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,Budding,http://purl.org/nevp/vocabulary/reproductive-phenology#04,,2017-11-20T08:00:06Z,marianahenry30,
1308557,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,Reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology#03,,2017-07-05T07:42:08Z,asacco99,
1308557,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,Flowering,http://purl.org/nevp/vocabulary/reproductive-phenology#06,,2017-07-05T07:42:08Z,asacco99,
1308557,"Phenology: flowering",http://purl.org/nevp/vocabulary/reproductive-phenology#06,"Mostly open",http://purl.org/nevp/vocabulary/reproductive-phenology#09,,2017-07-05T07:42:08Z,asacco99,
1556062,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,Reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology#03,,2017-10-30T06:58:09Z,sc2626,
1556062,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,Flowering,http://purl.org/nevp/vocabulary/reproductive-phenology#06,,2017-10-30T06:58:09Z,sc2626,
1556062,"Phenology: flowering",http://purl.org/nevp/vocabulary/reproductive-phenology#06,"Mostly open",http://purl.org/nevp/vocabulary/reproductive-phenology#09,,2017-10-30T06:58:09Z,sc2626,
1325746,"Phenology (ver 1.3)",http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#01,Reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#03,,2022-12-05T13:32:06Z,jd2562,"ver 1.3"
1325746,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#03,Budding,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#04,,2022-12-05T13:32:06Z,jd2562,"ver 1.3"
1325746,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#03,Flowering,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#06,,2022-12-05T13:32:06Z,jd2562,"ver 1.3"
1312394,"Phenology (ver 1.3)",http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#01,Reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#03,,2022-07-14T06:37:26Z,jd2562,"ver 1.3"
1312394,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#03,Flowering,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#06,,2022-07-14T06:37:26Z,jd2562,"ver 1.3"
1300031,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,Reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology#03,,2017-11-30T13:32:25Z,avl24,
1300031,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,Budding,http://purl.org/nevp/vocabulary/reproductive-phenology#04,,2017-11-30T13:32:25Z,avl24,
1300031,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,Flowering,http://purl.org/nevp/vocabulary/reproductive-phenology#06,,2017-11-30T13:32:25Z,avl24,
1300031,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,Fruiting,http://purl.org/nevp/vocabulary/reproductive-phenology#11,,2017-11-30T13:32:25Z,avl24,
1300031,"Phenology: flowering",http://purl.org/nevp/vocabulary/reproductive-phenology#06,"Mostly open",http://purl.org/nevp/vocabulary/reproductive-phenology#09,,2017-11-30T13:32:25Z,avl24,
1300031,"Phenology: fruiting",http://purl.org/nevp/vocabulary/reproductive-phenology#11,"Mostly young",http://purl.org/nevp/vocabulary/reproductive-phenology#13,,2017-11-30T13:32:25Z,avl24,
1322662,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,Reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology#03,,2017-09-28T11:39:26Z,avl24,
1322662,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,Budding,http://purl.org/nevp/vocabulary/reproductive-phenology#04,,2017-09-28T11:39:26Z,avl24,
1322662,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,Fruiting,http://purl.org/nevp/vocabulary/reproductive-phenology#11,,2017-09-28T11:39:26Z,avl24,
1322662,"Phenology: fruiting",http://purl.org/nevp/vocabulary/reproductive-phenology#11,"Past maturity",http://purl.org/nevp/vocabulary/reproductive-phenology#15,,2017-09-28T11:39:26Z,avl24,
1325913,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,Reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology#03,,2017-09-08T07:32:02Z,marianahenry30,
1325913,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,Budding,http://purl.org/nevp/vocabulary/reproductive-phenology#04,,2017-09-08T07:32:02Z,marianahenry30,
1325913,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,Flowering,http://purl.org/nevp/vocabulary/reproductive-phenology#06,,2017-09-08T07:32:02Z,marianahenry30,
1325913,"Phenology: flowering",http://purl.org/nevp/vocabulary/reproductive-phenology#06,"Mostly buds",http://purl.org/nevp/vocabulary/reproductive-phenology#08,,2017-09-08T07:32:02Z,marianahenry30,
1553140,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,Reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology#03,,2017-11-06T07:42:41Z,marianahenry30,
1553140,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,Flowering,http://purl.org/nevp/vocabulary/reproductive-phenology#06,,2017-11-06T07:42:41Z,marianahenry30,
1313989,"Phenology (ver 1.3)",http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#01,Reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#03,,2022-12-05T19:55:19Z,jd2562,"ver 1.3"
1313989,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#03,Flowering,http://purl.org/nevp/vocabulary/reproductive-phenology_1.3#06,,2022-12-05T19:55:19Z,jd2562,"ver 1.3"
1323937,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,Budding,http://purl.org/nevp/vocabulary/reproductive-phenology#04,,2017-09-25T13:00:33Z,CNHadmin,
1325864,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,Reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology#03,,2017-12-06T12:32:58Z,joellebesch,
1325864,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,Fruiting,http://purl.org/nevp/vocabulary/reproductive-phenology#11,,2017-12-06T12:32:58Z,joellebesch,
1325864,"Phenology: fruiting",http://purl.org/nevp/vocabulary/reproductive-phenology#11,"Mostly mature",http://purl.org/nevp/vocabulary/reproductive-phenology#14,,2017-12-06T12:32:58Z,joellebesch,
1306389,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,Reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology#03,,2017-09-08T08:03:53Z,marianahenry30,
1306389,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,Budding,http://purl.org/nevp/vocabulary/reproductive-phenology#04,,2017-09-08T08:03:53Z,marianahenry30,
1306389,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,Flowering,http://purl.org/nevp/vocabulary/reproductive-phenology#06,,2017-09-08T08:03:53Z,marianahenry30,
1306389,"Phenology: flowering",http://purl.org/nevp/vocabulary/reproductive-phenology#06,"Mostly open",http://purl.org/nevp/vocabulary/reproductive-phenology#09,,2017-09-08T08:03:53Z,marianahenry30,
1310785,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,Reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology#03,,2017-10-23T10:31:31Z,cr646,
1310785,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,Fruiting,http://purl.org/nevp/vocabulary/reproductive-phenology#11,,2017-10-23T10:31:31Z,cr646,
1310785,"Phenology: fruiting",http://purl.org/nevp/vocabulary/reproductive-phenology#11,"Mostly mature",http://purl.org/nevp/vocabulary/reproductive-phenology#14,,2017-10-23T10:31:31Z,cr646,
1312060,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,Reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology#03,,2017-10-12T12:26:31Z,avl24,
1312060,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,Budding,http://purl.org/nevp/vocabulary/reproductive-phenology#04,,2017-10-12T12:26:31Z,avl24,
1312060,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,Flowering,http://purl.org/nevp/vocabulary/reproductive-phenology#06,,2017-10-12T12:26:31Z,avl24,
1312060,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,Fruiting,http://purl.org/nevp/vocabulary/reproductive-phenology#11,,2017-10-12T12:26:31Z,avl24,
1312060,"Phenology: flowering",http://purl.org/nevp/vocabulary/reproductive-phenology#06,"Mostly buds",http://purl.org/nevp/vocabulary/reproductive-phenology#08,,2017-10-12T12:26:31Z,avl24,
1554606,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,Reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology#03,,2017-06-29T06:24:13Z,Chelsea_Mayle,
1554606,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,Flowering,http://purl.org/nevp/vocabulary/reproductive-phenology#06,,2017-06-29T06:24:13Z,Chelsea_Mayle,
1554606,"Phenology: flowering",http://purl.org/nevp/vocabulary/reproductive-phenology#06,"Mostly buds",http://purl.org/nevp/vocabulary/reproductive-phenology#08,,2017-06-29T06:24:13Z,Chelsea_Mayle,
1323233,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,Budding,http://purl.org/nevp/vocabulary/reproductive-phenology#04,,2017-09-25T13:00:19Z,CNHadmin,
1293998,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,Reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology#03,,2017-10-06T08:28:43Z,marianahenry30,
1293998,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,Fruiting,http://purl.org/nevp/vocabulary/reproductive-phenology#11,,2017-10-06T08:28:43Z,marianahenry30,
1307129,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,Sterile,http://purl.org/nevp/vocabulary/reproductive-phenology#02,,2017-09-26T09:04:47Z,rdone,
1308824,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,Reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology#03,,2017-10-30T10:30:41Z,joellebesch,
1308824,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,Flowering,http://purl.org/nevp/vocabulary/reproductive-phenology#06,,2017-10-30T10:30:41Z,joellebesch,
1294693,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,Reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology#03,,2017-10-30T06:56:37Z,sc2626,
1294693,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,Fruiting,http://purl.org/nevp/vocabulary/reproductive-phenology#11,,2017-10-30T06:56:37Z,sc2626,
1310887,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,Reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology#03,,2017-07-14T07:30:40Z,asacco99,"Mostly open flowers, some old flowers"
1310887,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,Flowering,http://purl.org/nevp/vocabulary/reproductive-phenology#06,,2017-07-14T07:30:40Z,asacco99,"Mostly open flowers, some old flowers"
1310887,"Phenology: flowering",http://purl.org/nevp/vocabulary/reproductive-phenology#06,"Mostly open",http://purl.org/nevp/vocabulary/reproductive-phenology#09,,2017-07-14T07:30:40Z,asacco99,"Mostly open flowers, some old flowers"
1296080,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,Reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology#03,,2017-12-06T12:41:05Z,joellebesch,
1296080,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,Budding,http://purl.org/nevp/vocabulary/reproductive-phenology#04,,2017-12-06T12:41:05Z,joellebesch,
1296080,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,Flowering,http://purl.org/nevp/vocabulary/reproductive-phenology#06,,2017-12-06T12:41:05Z,joellebesch,
1296080,"Phenology: flowering",http://purl.org/nevp/vocabulary/reproductive-phenology#06,"Mostly open",http://purl.org/nevp/vocabulary/reproductive-phenology#09,,2017-12-06T12:41:05Z,joellebesch,
1304699,"Phenology (ver 1.0)",http://purl.org/nevp/vocabulary/reproductive-phenology#01,Reproductive,http://purl.org/nevp/vocabulary/reproductive-phenology#03,,2017-09-28T11:43:38Z,avl24,
1304699,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,Budding,http://purl.org/nevp/vocabulary/reproductive-phenology#04,,2017-09-28T11:43:38Z,avl24,
1304699,"Phenology: reproductive",http://purl.org/nevp/vocabulary/reproductive-phenology#03,Flowering,http://purl.org/nevp/vocabulary/reproductive-phenology#06,,2017-09-28T11:43:38Z,avl24,
1304699,"Phenology: flowering",http://purl.org/nevp/vocabulary/reproductive-phenology#06,"Mostly open",http://purl.org/nevp/vocabulary/reproductive-phenology#09,,2017-09-28T11:43:38Z,avl24,
