ITIS.Family.Name,row_sum,trnL_count
Cochlospermaceae,0,0
Diervillaceae,0,0
Linnaeaceae,0,0
Culcitaceae,0,0
Diplaziopsidaceae,0,0
Hypodematiaceae,0,0
Loxsomataceae,0,0
Alzateaceae,0,0
Apodanthaceae,0,0
Borthwickiaceae,0,0
Corsiaceae,0,0
Cynomoriaceae,0,0
Cystodiaceae,0,0
Cytinaceae,0,0
Desmophlebiaceae,0,0
Didymelaceae,0,0
Guamatelaceae,0,0
Hemidictyaceae,0,0
Hydnoraceae,0,0
Ledocarpaceae,0,0
Lonchitidaceae,0,0
Malesherbiaceae,0,0
Maundiaceae,0,0
Medusagynaceae,0,0
Mitrastemonaceae,0,0
Octoknemaceae,0,0
Quiinaceae,0,0
Rafflesiaceae,0,0
Rhachidosoraceae,0,0
Rhoipteleaceae,0,0
Stixaceae,0,0
Strombosiaceae,0,0
Thismiaceae,0,0
Turneraceae,0,0
Wellstediaceae,0,0
Setchellanthaceae,1,0
Nephrolepidaceae,2,0
Lindsaeaceae,2,0
Saccolomataceae,2,0
Gerrardinaceae,2,0
Koeberliniaceae,2,0
Codonaceae,2,0
Didymochlaenaceae,2,0
Emblingiaceae,2,0
Thyrsopteridaceae,2,0
Microteaceae,3,0
Sciadopityaceae,3,0
Tetracarpaeaceae,3,0
Balanophoraceae,4,0
Bataceae,4,0
Picramniaceae,4,0
Biebersteiniaceae,4,0
Geissolomataceae,4,0
Neuradaceae,4,0
Pentadiplandraceae,4,0
Petenaeaceae,4,0
Petermanniaceae,4,0
Sphenocleaceae,4,0
Trimeniaceae,4,0
Anacampserotaceae,5,0
Matoniaceae,5,0
Barbeuiaceae,5,0
Cephalotaceae,5,0
Dirachmaceae,5,0
Gomortegaceae,5,0
Halophytaceae,5,0
Oncothecaceae,5,0
Pentaphragmataceae,5,0
Physenaceae,5,0
Strasburgeriaceae,5,0
Hydrophyllaceae,6,0
Anemiaceae,6,0
Cibotiaceae,6,0
Sarcobataceae,6,0
Aextoxicaceae,6,0
Aphanopetalaceae,6,0
Asteropeiaceae,6,0
Ctenolophonaceae,6,0
Degeneriaceae,6,0
Lanariaceae,6,0
Lophopyxidaceae,6,0
Phellinaceae,6,0
Phyllonomaceae,6,0
Triuridaceae,6,0
Xeronemataceae,6,0
Ximeniaceae,6,0
Hydroleaceae,7,0
Onocleaceae,7,0
Aphloiaceae,7,0
Aptandraceae,7,0
Barbeyaceae,7,0
Campynemataceae,7,0
Himantandraceae,7,0
Lepidobotryaceae,7,0
Plocospermataceae,7,0
Quillajaceae,7,0
Thurniaceae,7,0
Columelliaceae,8,0
Euphroniaceae,8,0
Rhabdodendraceae,8,0
Tetrachondraceae,8,0
Thomandersiaceae,8,0
Tovariaceae,8,0
Tectariaceae,9,0
Penthoraceae,9,0
Dioncophyllaceae,9,0
Drosophyllaceae,9,0
Roridulaceae,9,0
Sphaerosepalaceae,9,0
Ticodendraceae,9,0
Argophyllaceae,10,0
Berberidopsidaceae,10,0
Carlemanniaceae,10,0
Curtisiaceae,10,0
Metaxyaceae,10,0
Sladeniaceae,10,0
Vivianiaceae,10,0
Amborellaceae,11,0
Goupiaceae,11,0
Grubbiaceae,11,0
Petrosaviaceae,11,0
Dipentodontaceae,12,0
Vahliaceae,12,3
Austrobaileyaceae,13,0
Kirkiaceae,13,0
Valerianaceae,14,0
Joinvilleaceae,14,0
Balanopaceae,14,0
Pennantiaceae,14,0
Simmondsiaceae,14,0
Anarthriaceae,15,0
Blandfordiaceae,15,0
Gyrostemonaceae,15,0
Peridiscaceae,15,0
Plagiogyriaceae,15,0
Alseuosmiaceae,16,0
Tapisciaceae,16,0
Torricelliaceae,16,0
Crossosomataceae,17,0
Akaniaceae,17,0
Crypteroniaceae,17,0
Doryanthaceae,17,0
Eucommiaceae,17,0
Eupomatiaceae,17,0
Stegnospermataceae,17,0
Welwitschiaceae,17,0
Cyrillaceae,18,0
Datiscaceae,18,0
Dipteridaceae,18,0
Brunelliaceae,18,0
Lacistemataceae,18,0
Lophiocarpaceae,18,0
Schlegeliaceae,18,0
Trigoniaceae,18,1
Centrolepidaceae,19,0
Circaeasteraceae,19,0
Tetrameristaceae,19,0
Bonnetiaceae,20,0
Mayacaceae,20,0
Paracryphiaceae,20,0
Tetramelaceae,20,0
Metteniusaceae,21,0
Cordiaceae,22,0
Coulaceae,22,0
Rousseaceae,22,0
Oleandraceae,23,0
Didiereaceae,23,0
Hydrostachyaceae,23,0
Ixonanthaceae,23,0
Misodendraceae,23,0
Muntingiaceae,23,0
Caryocaraceae,24,0
Montiniaceae,25,0
Frankeniaceae,25,0
Butomaceae,25,0
Centroplacaceae,25,0
Surianaceae,25,0
Corynocarpaceae,26,0
Ecdeiocoleaceae,26,0
Asteliaceae,27,0
Huaceae,27,0
Posidoniaceae,27,0
Fouquieriaceae,28,0
Griseliniaceae,28,0
Ixioliriaceae,28,0
Philydraceae,28,0
Achatocarpaceae,29,0
Hanguanaceae,29,0
Ehretiaceae,30,0
Byblidaceae,30,0
Philesiaceae,31,0
Gelsemiaceae,32,0
Humiriaceae,33,0
Rapateaceae,33,0
Dasypogonaceae,34,0
Basellaceae,37,0
Boryaceae,37,0
Scheuchzeriaceae,37,1
Martyniaceae,39,0
Lomariopsidaceae,39,0
Salvadoraceae,39,0
Melianthaceae,40,0
Flagellariaceae,40,0
Sarcolaenaceae,40,0
Dipsacaceae,41,0
Limeaceae,42,1
Hernandiaceae,43,0
Strelitziaceae,44,0
Eupteleaceae,44,0
Dichapetalaceae,46,1
Paulowniaceae,47,0
Stylidiaceae,48,0
Xyridaceae,49,0
Helwingiaceae,49,0
Bixaceae,50,0
Aponogetonaceae,52,0
Escalloniaceae,52,0
Talinaceae,52,5
Atherospermataceae,53,0
Francoaceae,53,0
Irvingiaceae,54,0
Platanaceae,56,0
Limnanthaceae,58,0
Peraceae,58,0
Myrothamnaceae,60,0
Nyssaceae,61,0
Lowiaceae,62,0
Sarraceniaceae,63,0
Picrodendraceae,63,0
Nelumbonaceae,63,0
Psilotaceae,64,0
Iteaceae,65,0
Woodsiaceae,66,0
Pontederiaceae,66,0
Davalliaceae,66,0
Schoepfiaceae,67,0
Pedaliaceae,69,1
Garryaceae,71,0
Cyclanthaceae,71,0
Tropaeolaceae,74,0
Calyceraceae,74,0
Gunneraceae,75,0
Saururaceae,75,0
Trochodendraceae,75,0
Ancistrocladaceae,75,1
Ceratophyllaceae,76,0
Gisekiaceae,76,1
Cannaceae,77,0
Burmanniaceae,77,0
Cardiopteridaceae,77,0
Cercidiphyllaceae,78,0
Daphniphyllaceae,79,0
Krameriaceae,80,0
Nothofagaceae,83,0
Anisophylleaceae,83,0
Coriariaceae,83,0
Cymodoceaceae,85,0
Hydatellaceae,85,0
Gleicheniaceae,86,0
Tecophilaeaceae,86,0
Marcgraviaceae,87,0
Stemonuraceae,88,0
Vochysiaceae,88,0
Penaeaceae,90,0
Siparunaceae,91,0
Cabombaceae,92,0
Elatinaceae,92,1
Moringaceae,93,0
Velloziaceae,95,0
Stilbaceae,96,0
Schizaeaceae,97,1
