parentname,taxonname,total_barcodes,trnL_barcodes
Cochlospermaceae,Cochlospermum,0,0
Cochlospermaceae,Amoreuxia,0,0
Diervillaceae,Diervilla,0,0
Diervillaceae,Weigela,0,0
Linnaeaceae,Abelia,0,0
Linnaeaceae,Linnaea,0,0
Linnaeaceae,Kolkwitzia,0,0
Culcitaceae,Culcita,0,0
Diplaziopsidaceae,Diplaziopsis,0,0
Diplaziopsidaceae,Homalosorus,0,0
Hypodematiaceae,Hypodematium,0,0
Hypodematiaceae,Leucostegia,0,0
Loxsomataceae,Loxsoma,0,0
Loxsomataceae,Loxsomopsis,0,0
Apodanthaceae,Pilostyles,0,0
Cystodiaceae,Cystodium,0,0
Desmophlebiaceae,Desmophlebium,0,0
Hemidictyaceae,Hemidictyum,0,0
Lonchitidaceae,Lonchitis,0,0
Maundiaceae,Maundia,0,0
Rhachidosoraceae,Rhachidosorus,0,0
Rhoipteleaceae,Rhoiptelea,0,0
Thismiaceae,Thismia,0,0
Nephrolepidaceae,Nephrolepis,2,0
Lindsaeaceae,Nesolindsaea,2,0
Lindsaeaceae,Osmolindsaea,2,0
Lindsaeaceae,Tapeinidium,2,0
Lindsaeaceae,Xyropteris,2,0
Lindsaeaceae,Sphenomeris,2,0
Lindsaeaceae,Odontosoria,2,0
Lindsaeaceae,Lindsaea,2,0
Lindsaeaceae,X Lindsaeosoria,2,0
Saccolomataceae,Saccoloma,2,0
Gerrardinaceae,Gerrardina,2,0
Koeberliniaceae,Koeberlinia,2,0
Didymochlaenaceae,Didymochlaena,2,0
Thyrsopteridaceae,Thyrsopteris,2,0
Microteaceae,Microtea,3,0
Balanophoraceae,Helosis,4,0
Balanophoraceae,Scybalium,4,0
Balanophoraceae,Balanophora,4,0
Bataceae,Batis,4,0
Picramniaceae,Alvaradoa,4,0
Picramniaceae,Picramnia,4,0
Petenaeaceae,Petenaea,4,0
Sphenocleaceae,Sphenoclea,4,0
Anacampserotaceae,Talinopsis,5,0
Anacampserotaceae,Anacampseros,5,0
Anacampserotaceae,Avonia,5,0
Matoniaceae,Matonia,5,0
Matoniaceae,Phanerosorus,5,0
Cephalotaceae,Cephalotus,5,0
Hydrophyllaceae,Draperia,6,0
Hydrophyllaceae,Ellisia,6,0
Hydrophyllaceae,Emmenanthe,6,0
Hydrophyllaceae,Eucrypta,6,0
Hydrophyllaceae,Hesperochiron,6,0
Hydrophyllaceae,Hydrophyllum,6,0
Hydrophyllaceae,Nemophila,6,0
Hydrophyllaceae,Phacelia,6,0
Hydrophyllaceae,Pholistoma,6,0
Hydrophyllaceae,Romanzoffia,6,0
Hydrophyllaceae,Tricardia,6,0
Anemiaceae,Anemia,6,0
Cibotiaceae,Cibotium,6,0
Sarcobataceae,Sarcobatus,6,0
Lophopyxidaceae,Lophopyxis,6,0
Triuridaceae,Sciaphila,6,0
Ximeniaceae,Ximenia,6,0
Hydroleaceae,Hydrolea,7,0
Onocleaceae,Onocleopsis,7,0
Onocleaceae,Pentarhizidium,7,0
Onocleaceae,Matteuccia,7,0
Onocleaceae,Onoclea,7,0
Aptandraceae,Ongokea,7,0
Barbeyaceae,Barbeya,7,0
Quillajaceae,Quillaja,7,0
Columelliaceae,Desfontainia,8,0
Tetrachondraceae,Polypremum,8,0
Tectariaceae,Arthropteris,9,0
Tectariaceae,Draconopteris,9,0
Tectariaceae,Malaifilix,9,0
Tectariaceae,Pteridrys,9,0
Tectariaceae,Tectaria,9,0
Tectariaceae,Hypoderris,9,0
Tectariaceae,Triplophyllum,9,0
Penthoraceae,Penthorum,9,0
Ticodendraceae,Ticodendron,9,0
Metaxyaceae,Metaxya,10,0
Dipentodontaceae,Perrottetia,12,0
Dipentodontaceae,Dipentodon,12,0
Valerianaceae,Valeriana,14,0
Valerianaceae,Centranthus,14,0
Valerianaceae,Plectritis,14,0
Valerianaceae,Valerianella,14,0
Joinvilleaceae,Joinvillea,14,0
Simmondsiaceae,Simmondsia,14,0
Plagiogyriaceae,Plagiogyria,15,0
Tapisciaceae,Huertea,16,0
Tapisciaceae,Tapiscia,16,0
Crossosomataceae,Crossosoma,17,0
Crossosomataceae,Apacheria,17,0
Crossosomataceae,Glossopetalon,17,0
Crossosomataceae,Velascoa,17,0
Eucommiaceae,Eucommia,17,0
Stegnospermataceae,Stegnosperma,17,0
Welwitschiaceae,Welwitschia,17,0
Cyrillaceae,Cliftonia,18,0
Cyrillaceae,Cyrilla,18,0
Datiscaceae,Datisca,18,0
Dipteridaceae,Cheiropleuria,18,0
Dipteridaceae,Dipteris,18,0
Brunelliaceae,Brunellia,18,0
Schlegeliaceae,Schlegelia,18,0
Mayacaceae,Mayaca,20,0
Cordiaceae,Cordia,22,0
Cordiaceae,Varronia,22,0
Oleandraceae,Oleandra,23,0
Didiereaceae,Portulacaria,23,0
Misodendraceae,Misodendrum,23,0
Muntingiaceae,Muntingia,23,0
Caryocaraceae,Caryocar,24,0
Montiniaceae,Grevea,25,0
Montiniaceae,Kaliphora,25,0
Montiniaceae,Montinia,25,0
Frankeniaceae,Frankenia,25,0
Butomaceae,Butomus,25,0
Surianaceae,Suriana,25,0
Corynocarpaceae,Corynocarpus,26,0
Asteliaceae,Astelia,27,0
