"","x"
"1","Icacinaceae"
"2","Metteniusaceae"
"3","Oncothecaceae"
"4","Vahliaceae"
"5","Ripogonaceae"
"6","Psilotaceae"
"7","Lycopodiaceae"
"8","Selaginellaceae"
"9","Isoetaceae"
"10","Equisetaceae"
"11","Ophioglossaceae"
"12","Marattiaceae"
"13","Osmundaceae"
"14","Hymenophyllaceae"
"15","Cyatheaceae"
"16","Gleicheniaceae"
"17","Schizaeaceae"
"18","Marsileaceae"
"19","Salviniaceae"
"20","Cycadaceae"
"21","Ginkgoaceae"
"22","Pinaceae"
"23","Cupressaceae"
"24","Araucariaceae"
"25","Podocarpaceae"
"26","Welwitschiaceae"
"27","Austrobaileyaceae"
"28","Magnoliaceae"
"29","Winteraceae"
"30","Degeneriaceae"
"31","Himantandraceae"
"32","Annonaceae"
"33","Myristicaceae"
"34","Canellaceae"
"35","Schisandraceae"
"36","Eupomatiaceae"
"37","Amborellaceae"
"38","Trimeniaceae"
"39","Monimiaceae"
"40","Gomortegaceae"
"41","Calycanthaceae"
"42","Lauraceae"
"43","Hernandiaceae"
"44","Chloranthaceae"
"45","Saururaceae"
"46","Piperaceae"
"47","Amaryllidaceae"
"48","Aristolochiaceae"
"49","Ephedraceae"
"50","Gnetaceae"
"51","Nymphaeaceae"
"52","Nelumbonaceae"
"53","Ceratophyllaceae"
"54","Cabombaceae"
"55","Ranunculaceae"
"56","Alstroemeriaceae"
"57","Circaeasteraceae"
"58","Berberidaceae"
"59","Lardizabalaceae"
"60","Menispermaceae"
"61","Coriariaceae"
"62","Corynocarpaceae"
"63","Sabiaceae"
"64","Papaveraceae"
"65","Trochodendraceae"
"66","Cercidiphyllaceae"
"67","Eupteleaceae"
"68","Platanaceae"
"69","Didymelaceae"
"70","Hamamelidaceae"
"71","Myrothamnaceae"
"72","Eucommiaceae"
"73","Ulmaceae"
"74","Barbeyaceae"
"75","Moraceae"
"76","Cannabaceae"
"77","Urticaceae"
"78","Rhoipteleaceae"
"79","Picrodendraceae"
"80","Juglandaceae"
"81","Myricaceae"
"82","Balanopaceae"
"83","Fagaceae"
"84","Betulaceae"
"85","Taxaceae"
"86","Casuarinaceae"
