ITIS Family Name,ITIS Species Count,BOLD Specimen Count,BOLD Species Count,BOLD rbcL Specimen Count,BOLD matK Specimen Count,BOLD trnL Specimen Count,BOLD ITS Specimen Count,ENA trnL-P6 Species Count,ENA trnL-P6 Specimen Count
Poaceae,5061,15624,4289,8435,8561,573,5515,2381,5298
Euphorbiaceae,3372,4863,1879,2205,1837,33,2000,622,948
Gesneriaceae,3304,1690,1048,138,407,0,1269,523,742
Asteraceae,3038,14410,6552,6062,6964,248,7696,3125,4873
Fabaceae,2647,17808,7294,8388,9426,421,7004,2863,5080
Lejeuneaceae,1984,982,447,413,0,0,572,230,463
Cactaceae,1516,2199,976,692,1745,3,126,360,550
Solanaceae,1286,3157,971,1340,1541,59,1160,859,1371
Rosaceae,1121,6802,1890,3656,4168,20,2238,976,1571
Cyperaceae,1115,6214,1938,2887,3704,117,1919,750,1109
Brassicaceae,832,3354,1197,1553,1591,43,2013,1290,3738
Cyatheaceae,743,205,137,200,14,0,7,343,641
Lepidoziaceae,704,144,106,143,3,0,8,14,16
Plagiochilaceae,683,536,210,175,2,0,362,8,9
Xanthorrhoeaceae,658,280,124,119,115,2,85,NA,NA
Lamiaceae,618,5325,2030,2527,2233,99,2210,1430,2193
Frullaniaceae,595,790,152,200,1,3,592,124,173
Plantaginaceae,518,2213,768,868,1058,67,1120,509,688
Polygonaceae,507,2493,683,1201,1119,53,894,208,411
Apocynaceae,505,3068,1414,1734,1777,50,853,1257,1666
Malvaceae,505,3419,1147,2061,1996,173,1475,111,204
Myrtaceae,497,2667,1324,675,1298,0,1197,98,440
Orchidaceae,459,14575,6454,4128,7518,46,4778,1961,2916
Apiaceae,420,2332,960,1002,1033,5,1271,240,375
Lophocoleaceae,413,73,43,54,1,0,24,45,73
Caryophyllaceae,395,2893,1101,1107,1477,16,1499,297,831
Rubiaceae,381,6690,2995,3914,2560,62,2768,1935,3160
Ranunculaceae,367,3105,1168,970,1423,25,1412,364,859
Amaranthaceae,363,1602,664,723,619,39,896,217,354
Boraginaceae,356,2135,1065,767,814,41,1319,393,707
Aneuraceae,347,450,30,86,50,0,367,30,157
Polemoniaceae,307,564,276,129,342,18,253,169,415
