collectionNumber,notes,catalogNumber,scientificName,ITIS_Family,BRU_Family,genus,year,country,stateProvince,total_barcodes,trnL_barcodes,Extracted by,Extraction date,Sample characteristics ,Extraction notes,trnL c/d PCR by,trnL PCR date,trnL PCR notes,ExoSapIT_date (trnL),ExoSapIT_by (trnL),Primer Dilution_date (trnL),Primer Dilution_by (trnL),rbcL PCR by,rbcL PCR date,rbcL PCR notes,ExoSapIT_date (rbcL),ExoSapIT_by (rbcL),Primer Dilution_date (rbcL),Primer Dilution_by (rbcL),trnL sent sequencing,rbcL sent sequencing
,isotype,PBRU00037521,Pilostyles thurberi,Apodanthaceae,Rafflesiaceae,Pilostyles,NA,United States of America,Arizona,0,0,,,,,,faede748-398a-4cb2-b7b0-645dcd0f8440,,,,,,,,,,,,,,
3,,PBRU00078736,Diervilla lonicera,Diervillaceae,Caprifoliaceae,Diervilla,2020,United States of America,Rhode Island,0,0,ACJ/PG/MKB,homogenized 20250310; extracted 20250313,,,ACJ/PG,cb2d6756-819e-4632-a0fc-c340cb429ee7,,20250409,ACJ,20250409,ACJ,PG/ACJ,20250403,,20250409,ACJ,20250409,ACJ,20250410,20250410
1,,PBRU00050298,Linnaea borealis,Linnaeaceae,Caprifoliaceae,Linnaea,2016,United States of America,Maine,0,0,ACJ/PG/MKB,homogenized 20250310; extracted 20250313,,no tissue left over,ACJ/PG,d464605c-4eb6-4e3a-a21f-ba42ef310704,,20250409,ACJ,20250409,ACJ,PG/ACJ,20250403,,20250409,ACJ,20250409,ACJ,20250410,20250410
4,,PBRU00073743,Loxsoma cunninghamii,Loxsomataceae,Loxsomataceae,Loxsoma,NA,New Zealand,,0,0,ACJ/PG/MKB,homogenized 20250310; extracted 20250313,,,ACJ/PG,69670938-58df-42fc-9f75-61bec2bbdc03,,20250409,ACJ,20250409,ACJ,PG/ACJ,20250403,did not band,20250409,ACJ,20250409,ACJ,20250410,20250410
14,,PBRU00072739,Didymochlaena lunulata,Didymochlaenaceae,Aspidiaceae,Didymochlaena,1898,Colombia,,2,0,ACJ/PG/MKB,homogenized 20250310; extracted 20250313,,no tissue left over ,ACJ/PG,b92639ca-bf03-43dc-8114-7683b924ce0b,did not band,20250409,ACJ,20250409,ACJ,PG/ACJ,20250403,did not band,20250409,ACJ,20250409,ACJ,20250410,20250410
13,,PBRU00066730,Lindsaea nervosa,Lindsaeaceae,Lindsaeaceae,Lindsaea,1880,Bangladesh,,2,0,ACJ/PG/MKB,homogenized 20250310; extracted 20250313,,,ACJ/PG,6cd3d6f7-c73e-43b0-9387-364ea1b5e2b2,,20250409,ACJ,20250409,ACJ,PG/ACJ,20250403,faint,20250409,ACJ,20250409,ACJ,20250410,20250410
12,,PBRU00025308,Nephrolepis exaltata,Nephrolepidaceae,Lomariopsidaceae,Nephrolepis,1883,Jamaica,,2,0,ACJ/PG/MKB,homogenized 20250310; extracted 20250313,,,ACJ/PG,743e32ab-a9b4-4eff-8433-51f97dd2065d,,20250409,ACJ,20250409,ACJ,PG/ACJ,20250403,,20250409,ACJ,20250409,ACJ,20250410,20250410
11,,PBRU00039368,Batis maritima,Bataceae,Bataceae,Batis,1876,United States of America,Florida,4,0,ACJ/PG/MKB,homogenized 20250310; extracted 20250313,,not tissue left over; looked like a banana; thick/hard,ACJ/PG,396a4214-2feb-4cec-bf07-3db224e83798,,20250409,ACJ,20250409,ACJ,PG/ACJ,20250403,,20250409,ACJ,20250409,ACJ,20250410,20250410
10,,PBRU00047499,Sphenoclea zeylanica,Sphenocleaceae,Campanulaceae,Sphenoclea,NA,United States of America,Louisiana,4,0,ACJ/PG/MKB,homogenized 20250310; extracted 20250313,,,ACJ/PG,99cbd2c4-6af8-4010-97c9-993541a4279b,,20250409,ACJ,20250409,ACJ,PG/ACJ,20250403,,20250409,ACJ,20250409,ACJ,20250410,20250410
9,,PBRU00047050,Anacampseros retusa,Anacampserotaceae,Crassulaceae,Anacampseros,2014,South Africa,Northern Cape Province,5,0,ACJ/PG/MKB,homogenized 20250310; extracted 20250313,,,ACJ/PG,0208a84b-0201-4ce8-92b7-9c22f8514058,possibly too faint to send,20250409,ACJ,20250409,ACJ,PG/ACJ,20250403,,20250409,ACJ,20250409,ACJ,20250410,20250410
